ID,Group,Gender,Age,Education,Condition,MinAl,MinNonAl,CV,Lags,NTrials,RobustCV,QCV
01_08_CI,1,2,40,12,4,-5.31850906747221,-1.54269728987684,16.6030138686325,166.353665865385,156,0.417721518987342,0.192982456140351
01_09_MN,1,1,50,12,1,-9.20523669642913,-6.04515543736058,12.2179193529241,196.734260110294,136,0.268041237113402,0.127450980392157
01_09_MN,1,1,50,12,3,-7.55951358332336,-4.96162586379889,8.98644018109922,185.075908687943,141,0.210526315789474,0.106382978723404
01_09_MN,1,1,50,12,2,-9.82672811348546,-6.75783289631438,13.022055860428,200.757575757576,132,0.116504854368932,0.0606060606060606
01_09_MN,1,1,50,12,4,-9.16765825535278,-5.21799391901204,13.0507103913563,238.475177304965,141,0.189655172413793,0.0901639344262295
01_10_SK,1,2,29,11,1,-3.24308120702714,-1.49842980746849,31.6759587165073,196.636879280822,146,0.757894736842105,0.356435643564356
01_10_SK,1,2,29,11,3,-3.34403047193717,-1.7340621189597,11.5027904926334,142.862686258278,151,0.103896103896104,0.0526315789473684
01_10_SK,1,2,29,11,2,-3.25386304762333,-0.767270013630582,21.2293488488304,184.078839869281,153,0.188235294117647,0.0860215053763441
01_10_SK,1,2,29,11,4,-3.59896088456079,-0.776249016930923,31.1528626329811,204.540687919463,149,0.692307692307692,0.333333333333333
01_11_UK,1,2,44,14,1,-3.56655602835453,-1.58871070280545,28.2080094759655,206.799060314685,143,0.444444444444444,0.270833333333333
01_11_UK,1,2,44,14,3,-2.81656579579947,-0.280019680318009,20.1868805299051,137.320740582192,146,0.246376811594203,0.125925925925926
01_11_UK,1,2,44,14,2,-3.79126150689938,-0.695210043802518,20.1656844270254,183.318477348993,149,0.379746835443038,0.159574468085106
01_11_UK,1,2,44,14,4,-3.40800666275576,-1.55923388046968,11.9066175242011,217.59463028169,142,0.161016949152542,0.0875576036866359
01_12_GM,1,1,41,14,1,-4.77990199880926,-3.15259623865402,25.7555121163737,206.580528846154,143,0.46078431372549,0.227053140096618
01_12_GM,1,1,41,14,3,-2.99425659884939,-1.05503531725526,13.1344985758958,155.546300551471,136,0.207317073170732,0.112582781456954
01_12_GM,1,1,41,14,2,-5.84376763522338,-4.48273959446193,10.7475868421836,194.796316964286,140,0.0909090909090909,0.0452261306532663
01_12_GM,1,1,41,14,4,-4.81967032108223,-3.19362693888126,19.6798518073844,166.729525862069,145,0.34,0.204819277108434
01_13_CT,1,2,24,13,1,-9.18565338794192,-6.71714429706697,23.3044417885779,193.763020833333,150,0.131868131868132,0.0666666666666667
01_13_CT,1,2,24,13,3,-9.88307196838863,-8.01833715107312,13.9402070692223,143.9453125,150,0.259259259259259,0.148936170212766
01_13_CT,1,2,24,13,2,-9.89581200550833,-8.29461858260098,8.35568570764183,180.048268312102,157,0.0869565217391304,0.043010752688172
01_13_CT,1,2,24,13,4,-10.4995726359166,-8.35355154755998,10.7200611133394,170.397306743421,152,0.0549450549450549,0.0273224043715847
01_14_GM,1,1,29,13,1,-4.42894489149849,-1.61215097695063,24.8923888667899,212.678039965986,147,0.280373831775701,0.135135135135135
01_14_GM,1,1,29,13,3,-5.17021922359895,-2.56288176540855,21.5975033947545,169.365776909722,144,0.229885057471264,0.123456790123457
01_14_GM,1,1,29,13,2,-4.88118392597087,-4.20619275323693,4.80555148610053,199.396306818182,143,0.112244897959184,0.0531400966183575
01_14_GM,1,1,29,13,4,-4.86168001861481,-2.14633029381751,17.9566156851872,154.6875,150,0.38961038961039,0.185185185185185
01_15_KM,1,1,33,16,1,-6.26084869144136,-2.79176008822683,24.6532955659635,184.576866610738,149,0.291208791208791,0.142857142857143
