ID,Group,Gender,Age,Education,Condition,MinAl,MinNonAl,CV,Lags,NTrials,RobustCV,QCV
01_01_SG,1,2,24,8,1,-28.1818498470657,-16.6076107223772,13.1170465044854,251.925421099291,141,0.293650793650794,0.143968871595331
01_01_SG,1,2,24,8,3,-26.178137991292,-16.6158635580588,22.640998947835,146.38671875,140,0.450704225352113,0.205128205128205
01_01_SG,1,2,24,8,2,-29.1351249612245,-19.4289902281827,16.9538049638778,155.654366134752,141,0.282051282051282,0.142857142857143
01_01_SG,1,2,24,8,4,-22.2984754088116,-12.676661435865,13.774546310719,138.580729166667,150,0.285714285714286,0.126760563380282
01_02_GO,1,2,31,14,1,-6.07480364788551,-3.51520258987722,5.97567712891061,211.907036870504,139,0.0961538461538462,0.0458715596330275
01_02_GO,1,2,31,14,3,-7.48275609458531,-0.646835036776846,17.9641374812755,172.110947986577,149,0.310526315789474,0.165266106442577
01_02_GO,1,2,31,14,2,-10.7219620912711,-5.68383715351484,22.4881486626188,223.6328125,136,0.396396396396396,0.186440677966102
01_02_GO,1,2,31,14,4,-13.4997515064271,-7.24557493508563,28.4578958724662,207.268415178571,140,0.514563106796116,0.248826291079812
01_03_KS,1,2,38,15,1,-16.8338270866045,-7.08572871431706,29.3609486002004,179.288321167883,137,0.516129032258065,0.272727272727273
01_03_KS,1,2,38,15,3,-14.9894862049842,-8.46519364170306,19.2341974214158,152.971540178571,140,0.204819277108434,0.114093959731544
01_03_KS,1,2,38,15,2,-17.5194523371663,-12.5109520775976,12.0327954709001,175.24102393617,141,0.141304347826087,0.0710382513661202
01_03_KS,1,2,38,15,4,-12.7331540914709,-7.16679999195579,7.29234704715709,191.40625,139,0.11340206185567,0.0569948186528497
01_04_MI,1,2,27,12,1,-21.72745228205,-4.9824157866052,25.4737855481003,202.221315298507,134,0.345454545454545,0.208791208791209
01_04_MI,1,2,27,12,3,-19.8233763161935,-6.66163123881169,9.73740247500622,114.773995535714,140,0.116071428571429,0.0567685589519651
01_04_MI,1,2,27,12,2,-23.2412521437439,-7.47373168327078,10.6781621542498,131.247229609929,141,0.138461538461538,0.0676691729323308
01_04_MI,1,2,27,12,4,-21.4911019468053,-4.81519431944343,17.2431895419126,148.624785958904,146,0.405797101449275,0.181818181818182
01_05_MN,1,1,46,12,1,-33.4581274302884,-26.7642518846326,16.9385802673917,236.237582781457,151,0.392857142857143,0.180327868852459
01_05_MN,1,1,46,12,3,-19.2341267754094,-17.8491978945063,3.07441580396443,155.246310763889,144,0.0641025641025641,0.031055900621118
01_05_MN,1,1,46,12,2,-29.9053262638357,-25.3777536120038,19.3211764473798,206.738945578231,147,0.173469387755102,0.0831295843520782
01_05_MN,1,1,46,12,4,-31.3066538703569,-28.3636096440555,10.5436901980828,211.455676020408,147,0.11304347826087,0.0593607305936073
01_06_BZ,1,2,31,11,1,-16.4772279586095,-14.9586985668416,3.14432061525574,204.707458941606,137,0.0648148148148148,0.0334928229665072
01_06_BZ,1,2,31,11,3,-15.1553399684102,-10.0814401621513,11.8496337160446,161.099137931034,145,0.0505952380952381,0.0256410256410256
01_06_BZ,1,2,31,11,2,-16.206494227256,-12.1151771502429,19.0630222467461,183.874678938356,146,0.223404255319149,0.10880829015544
01_06_BZ,1,2,31,11,4,-21.078329494077,-13.3688850566204,16.8498865555886,190.388424295775,142,0.0721649484536082,0.0355329949238579
01_07_NT,1,1,33,11,1,-25.2982111474459,-16.8166933253774,11.8287052527191,177.879539695946,148,0.172413793103448,0.0819672131147541
01_07_NT,1,1,33,11,3,-25.5296959433302,-22.2624842709319,5.00059725114607,148.849383503401,147,0.0666666666666667,0.0326797385620915
01_07_NT,1,1,33,11,2,-24.1161537649513,-18.9949244745509,8.62881585046245,176.701831210191,157,0.159090909090909,0.0752688172043011
01_07_NT,1,1,33,11,4,-24.1743949527903,-16.7043001692412,17.2296168729124,171.065481085526,152,0.178571428571429,0.0857142857142857
01_08_CI,1,2,40,12,1,-19.7629479000525,-2.14985483579421,11.7521734701901,196.364182692308,156,0.23469387755102,0.113300492610837
01_08_CI,1,2,40,12,3,-21.3044211799358,-8.19647505016433,14.0599708014056,128.255208333333,156,0.256756756756757,0.147286821705426
01_08_CI,1,2,40,12,2,-19.7816537029675,-7.25913756779813,16.3257399952903,142.820669934641,153,0.301204819277108,0.177304964539007
01_08_CI,1,2,40,12,4,-20.1534217421728,-4.68744695274439,14.5904766260541,193.45953525641,156,0.261682242990654,0.147368421052632
01_09_MN,1,1,50,12,1,-35.9272312900373,-19.6071192000051,12.7113562237581,201.444738051471,136,0.247524752475248,0.121951219512195
01_09_MN,1,1,50,12,3,-32.9312790233493,-14.8488770569795,22.8551322779506,171.888851950355,141,0.293478260869565,0.157894736842105
01_09_MN,1,1,50,12,2,-33.1306610683883,-19.7926038600968,9.89681843971561,196.022727272727,132,0.121359223300971,0.0639386189258312
01_09_MN,1,1,50,12,4,-31.9497853864672,-15.7243794035673,22.8383860292865,221.007867907801,141,0.176470588235294,0.0871369294605809
01_10_SK,1,2,29,11,1,-16.3925930221533,-6.9112761938212,26.7254358538458,226.575877568493,146,0.321428571428571,0.138461538461538
01_10_SK,1,2,29,11,3,-13.6362876621517,-6.9179075192047,12.3265012414265,159.807015728477,151,0.222222222222222,0.108433734939759
01_10_SK,1,2,29,11,2,-15.4118237201576,-3.63673137530705,13.7278668232467,154.207516339869,153,0.180722891566265,0.0920245398773006
01_10_SK,1,2,29,11,4,-15.4640304148115,-5.74432984944309,22.0287319262098,178.271812080537,149,0.357142857142857,0.168539325842697
01_11_UK,1,2,44,14,1,-14.1687740610958,-5.89858126020092,31.3226802945058,201.144558566434,143,0.517543859649123,0.325966850828729
01_11_UK,1,2,44,14,3,-8.31552985382361,2.67981014012369,17.1230830159928,141.775470890411,146,0.289855072463768,0.138888888888889
01_11_UK,1,2,44,14,2,-14.955202996907,-0.510518834192164,34.9503706039083,170.74769295302,149,0.584459459459459,0.27244094488189
01_11_UK,1,2,44,14,4,-13.6202464376169,-6.2804279267739,27.8724280604728,208.613006161972,142,0.547826086956522,0.316582914572864
01_12_GM,1,1,41,14,1,-16.532158685321,-9.50804588403293,10.3792193281812,185.574191433566,143,0.099009900990099,0.0520833333333333
01_12_GM,1,1,41,14,3,-11.6564741903868,-1.73694954160789,28.1622586050826,233.513327205882,136,0.413793103448276,0.260869565217391
01_12_GM,1,1,41,14,2,-17.4504060647178,-13.1637610033231,5.63213743624683,196.233258928571,140,0.0721649484536082,0.0348258706467662
01_12_GM,1,1,41,14,4,-21.9502752014525,-10.9353557011538,33.9603297603231,181.411637931034,145,0.428571428571429,0.230769230769231
01_13_CT,1,2,24,13,1,-29.1036580999893,-21.1171337798111,7.27909586369683,178.177083333333,150,0.142857142857143,0.0726256983240224
01_13_CT,1,2,24,13,3,-35.957722915213,-27.1496758744085,13.9996974508545,147.760416666667,150,0.0864197530864197,0.0451612903225806
01_13_CT,1,2,24,13,2,-32.2942808964024,-27.6159212747638,5.50653751114849,180.172671178344,157,0.127659574468085,0.0659340659340659
01_13_CT,1,2,24,13,4,-36.5994954456533,-27.2807138408833,9.99267943288228,169.035259046053,152,0.185393258426966,0.0973451327433628
01_14_GM,1,1,29,13,1,-17.9653526657551,-6.39001527975529,34.142169437517,199.803358843537,147,0.663461538461538,0.361256544502618
01_14_GM,1,1,29,13,3,-19.2405699427358,-8.54561963475728,29.7712740884925,151.692708333333,144,0.361111111111111,0.175675675675676
01_14_GM,1,1,29,13,2,-24.2343693959161,-17.0959196846744,13.2578059872624,183.59375,143,0.232323232323232,0.122994652406417
01_14_GM,1,1,29,13,4,-18.9977744248818,-7.96359196114836,13.684240910283,237.408854166667,150,0.327731092436975,0.163179916317992
01_15_KM,1,1,33,16,1,-26.6169622773816,-9.89492023882339,13.0001289627307,202.286073825503,149,0.233009708737864,0.117647058823529
01_15_KM,1,1,33,16,3,-25.1970616047183,-16.9459707722441,7.32134026024143,161.363389756944,144,0.0941176470588235,0.0487804878048781
01_15_KM,1,1,33,16,2,-26.6005428960089,-17.7801174392378,20.3942623770334,207.138270547945,146,0.11340206185567,0.0552763819095477
01_15_KM,1,1,33,16,4,-24.8528227594761,-5.38707699042254,17.8191689223131,208.723958333333,150,0.320754716981132,0.157407407407407
01_16_KK,1,1,41,16,1,-22.1129252630363,-19.3840711820316,3.6046082171116,198.203125,125,0.0792079207920792,0.0396039603960396
01_16_KK,1,1,41,16,3,-14.3898882303312,-7.56848527158411,5.6191364253008,175.694444444444,135,0.0869565217391304,0.0445682451253482
01_16_KK,1,1,41,16,2,-22.2454094766555,-20.7164226180222,2.75851983843396,194.809857536765,136,0.05,0.0251256281407035
01_16_KK,1,1,41,16,4,-16.5507150808027,-14.229961679822,3.55999237279469,199.813179347826,138,0.0505050505050505,0.0246305418719212
01_17_KD,1,2,37,12,1,-11.7987796728015,-3.5632563980367,10.3486361941658,185.469267384106,151,0.182795698924731,0.0899470899470899
01_17_KD,1,2,37,12,3,-12.573931510476,-7.35437859629838,13.156835212122,182.799030172414,145,0.195652173913043,0.0957446808510638
01_17_KD,1,2,37,12,2,-17.5297147238811,-13.4618916729548,7.76056569721216,186.102973090278,144,0.0969387755102041,0.0488431876606684
01_17_KD,1,2,37,12,4,-12.7233449003343,-6.96411439944538,12.4152232300364,184.122721354167,144,0.144329896907216,0.0729166666666667
01_18_TP,1,2,28,17,1,-13.7169005875136,-8.1514941620847,7.7131752614406,217.877604166667,150,0.171428571428571,0.0789473684210526
01_18_TP,1,2,28,17,3,-19.3155861494118,-15.8703555989263,5.41089162708456,192.509638798701,154,0.1,0.0510204081632653
01_18_TP,1,2,28,17,2,-19.0266876834527,-13.4703628831172,5.72120579364845,213.347199675325,154,0.0892857142857143,0.0454545454545455
01_18_TP,1,2,28,17,4,-13.4786859042158,-12.4645275637323,1.73829918049561,214.790239726027,146,0.0275229357798165,0.0135746606334842
01_19_KV,1,2,22,9,1,-5.88649283043892,-5.19215577219711,1.22150447365102,221.160888671875,128,0.00884955752212389,0.00444444444444444
01_19_KV,1,2,22,9,3,-11.0774567068163,-6.51492860492481,19.4987218529272,196.502130681818,110,0.153846153846154,0.0816326530612245
01_19_KV,1,2,22,9,2,-11.1692867646092,-7.14071055577365,19.9045069514266,187.277275219298,114,0.0480769230769231,0.0246305418719212
01_19_KV,1,2,22,9,4,-16.8033820720154,-10.7199807988013,21.1344984035109,210.321514423077,130,0.0442477876106195,0.0222222222222222
01_20_TP,1,2,37,16,1,-13.4127601613604,-8.22849683998599,8.96555514481667,214.070638020833,144,0.215686274509804,0.0973451327433628
01_20_TP,1,2,37,16,3,-10.6588424125459,-4.33815315765451,13.5607858683938,205.182291666667,150,0.313131313131313,0.14027149321267
01_20_TP,1,2,37,16,2,-18.1618263290482,-8.15161652370957,17.5208736379293,189.519108952703,148,0.168367346938776,0.0899182561307902
01_20_TP,1,2,37,16,4,-17.1797234023482,-10.6122543296145,14.4277866900932,124.931227992958,142,0.339285714285714,0.145038167938931
01_21_TD,1,2,24,16,1,-16.7847023957016,-10.8035831166102,14.1771520452124,154.6875,140,0.240506329113924,0.116564417177914
